"Freq [GHz]","re(S(1,1)) [] - H1='3.757mm' H2='4.552mm' H3='4.125mm' H_C1='3.114mm' H_C2='2.893mm'","im(S(1,1)) [] - H1='3.757mm' H2='4.552mm' H3='4.125mm' H_C1='3.114mm' H_C2='2.893mm'"
10.5,0.364745774417403,-0.930913503813058
10.51,0.335286994392428,-0.941889237069276
10.52,0.304423617854418,-0.952265316925776
10.53,0.272066602284831,-0.961948842718072
10.54,0.238119830415392,-0.970831710941265
10.55,0.202479691093837,-0.978787673837257
10.56,0.165034749035381,-0.985668721157499
10.57,0.125665579847843,-0.991300603621084
10.58,0.0842448900432602,-0.995477262380298
10.59,0.0406381091101232,-0.997953857958954
10.6,-0.00529525403542849,-0.998438000423478
10.61,-0.0536990326153155,-0.996578666047938
10.62,-0.104715883071005,-0.991952142858994
10.63,-0.158479693560027,-0.984044183894029
10.64,-0.215103130280193,-0.972227386823451
10.65,-0.274657486952541,-0.955732728153438
10.66,-0.33714034994115,-0.933614318876191
10.67,-0.402424012556972,-0.904707172766552
10.68,-0.470173662966604,-0.867579850477401
10.69,-0.539718786880237,-0.820488823703445
10.7,-0.609854240472255,-0.761352331606405
10.71,-0.678541594464869,-0.687783804120033
10.72,-0.742485598769581,-0.597266747434827
10.73,-0.796599194710721,-0.487621322349177
10.74,-0.833495626820281,-0.357994651099252
10.75,-0.843434865173279,-0.210613920863346
10.76,-0.81560704340254,-0.05321660975395
10.77,-0.741856118373546,0.0989746014560877
10.78,-0.622761187061479,0.224445133559838
10.79,-0.472560431421202,0.302351668856921
10.8,-0.316886087405756,0.323005703962143
10.81,-0.182068544698849,0.293516988757734
10.82,-0.0840040692367277,0.233059580118771
10.83,-0.0250058254944324,0.162606215819433
10.84,0.00189064981966601,0.0975394998610984
10.85,0.00694974336914448,0.0458888284923146
10.86,-0.000209520761191492,0.00993558088994622
10.87,-0.0121941947268223,-0.0114763420925323
10.88,-0.0240245620805291,-0.0211391922421544
10.89,-0.0327749191072611,-0.0223603243199879
10.9,-0.0370995295724423,-0.0183378551630013
10.91,-0.0367965776782691,-0.011834333700271
10.92,-0.0324400608919151,-0.00501996852485815
10.93,-0.0250731236381522,0.000582021727004913
10.94,-0.0159539813530883,0.00408085186628719
10.95,-0.00635118843301158,0.00515297205731573
10.96,0.00261133553625661,0.00394107206796116
10.97,0.0100592856910704,0.000931944209684008
10.98,0.0154253872277384,-0.00317263916113864
10.99,0.0184648022183186,-0.00757990687751879
11,0.0192362348435084,-0.0115159901604892
11.01,0.0180571258436184,-0.0143162082321656
11.02,0.0154408098874957,-0.0154930109081653
11.03,0.0120224102877677,-0.0147807015167263
11.04,0.00847916363207447,-0.012157042729213
11.05,0.005450159166401,-0.00784231854791678
11.06,0.00346019316192126,-0.00227681378438399
11.07,0.00285237392972569,0.0039217130141426
11.08,0.00373394275772064,0.0100180623466716
11.09,0.0059392108152703,0.0152335587544065
11.1,0.0090124457221506,0.0188294933020069
11.11,0.0122121377534624,0.0201952711504294
11.12,0.014536763401999,0.018936964637715
11.13,0.0147715343556966,0.0149631576812891
11.14,0.011556250983529,0.00856638355657187
11.15,0.00347662252435315,0.000499189347241006
11.16,-0.0108148570284544,-0.00795742271997643
11.17,-0.0324381483970013,-0.0149403816819838
11.18,-0.062072338985056,-0.0179832689434149
11.19,-0.0996812223249089,-0.014061247904616
11.2,-0.144187206603248,0.000244108436192069
11.21,-0.193142806452506,0.0283932776277061
11.22,-0.242512084261497,0.0732990470156717
11.23,-0.286740133144192,0.136520628952048
11.24,-0.319299715567104,0.217408939432159
11.25,-0.33378233833023,0.312537915629461
11.26,-0.32532517998657,0.415809640332434
11.27,-0.291869835079149,0.519416281538979
11.28,-0.23469097939656,0.615415281384185
11.29,-0.15794865122573,0.697313649260436
11.3,-0.0675115647416732,0.761063885251457
11.31,0.030400407852388,0.805235868560832
11.32,0.130270917211923,0.830539319816171
11.33,0.227838515258461,0.839061963133627
11.34,0.320202431546146,0.833537873673804
11.35,0.405654466104708,0.816806102665624
11.36,0.483401400629367,0.791485991934245
11.37,0.553284732026197,0.759826152727851
11.38,0.615547770194562,0.723666902636536
11.39,0.670662866049132,0.684465020312086
11.4,0.719213074194012,0.643345933652766
11.41,0.761816271007674,0.601162875100213
11.42,0.799079600675121,0.558552609897469
11.43,0.831574309072967,0.515983448070227
11.44,0.859823634979373,0.47379455032168
11.45,0.884298691097741,0.432227107913538
11.46,0.905418986328103,0.391448580922792
11.47,0.923555454180545,0.351571292898206
11.48,0.939034669763933,0.312666572876115
11.49,0.952143470622534,0.274775450204564
11.5,0.963133534955797,0.237916712553079
